,Frequency
ACM Computing Surveys,5
IEEE Access,3
International Symposium on Computer Science and Intelligent Control ISCSIC,2
International Academic Mindtrek Conference Academic Mindtrek,1
IEEE ACM International Workshop on Software Engineering for Smart Cyber Physical Systems SEsCPS,1
ASME International Conference on Ocean Offshore and Arctic Engineering OMAE,1
International Conference on Information Science and System ICISS,1
IEEE International Conference on Industrial Engineering and Engineering Management IEEM,1
Total Quality Management and Business Excellence,1
ACM SIGBED International Conference on Embedded Software EMSOFT held as part of the Embedded Systems Week ESWEEK,1
IEEE International Symposium on Systems Engineering ISSE,1
ACM Transactions on Internet of Things,1
International Conference on Content based Multimedia Indexing CBMI,1
Australasian Computer Science Week ACSW,1
Computers in Industry,1
Buildings,1
Journal of Information Technology in Construction,1
IFIP WG Working Conference on Virtual Enterprises PRO VE,1
International Conference on Computing in Civil and Building Engineering ICCCBE,1
International Conference on Availability Reliability and Security ARES,1
IEEE International Conference on Enabling Technologies Infrastructure for Collaborative Enterprises WETICE,1
Digital Health,1
International Journal of Applied Earth Observation and Geoinformation,1
Ocean Engineering,1
IEEE Conference on Industrial Electronics and Applications ICIEA,1
ACM Comput Surv,1
